group                      , name                         , kind       , data_gen      , n_samples, n_features, algorithm, metric     , min_samples, min_cluster_size, knn_k, k_graph, density, n_repeats, elapsed_sec, peak_mem_bytes, peak_mem_MB, mst_n_edges, mst_n_inf_edges, mst_total_weight    , mst_max_weight     , core_dist_mean     , neighbors_shape, n_clusters, n_noise, noise_fraction, graph_nnz, graph_density, all_timings_sec                  , timing_std_sec, error
min_samples_sweep          , boruvka_ms50                 , hdbscan    , blobs         ,     20000,         10, boruvka  , euclidean  ,          50,               15,      ,        ,        ,          ,    0.171802,       11021128,       11.02,            ,                ,                     ,                    ,                    ,                ,         10,       0,         0.0   ,          ,              ,                                  ,               , 
min_samples_sweep          , kruskal_knn_20_ms50          , hdbscan    , blobs         ,     20000,         10, kruskal  , euclidean  ,          50,               15,    20,        ,        ,          ,    0.15011 ,       50497496,       50.5 ,            ,                ,                     ,                    ,                    ,                ,         10,       0,         0.0   ,          ,              ,                                  ,               , 
knn_k_sweep                , kruskal_knn_k5               , mst        , blobs         ,     20000,         10, kruskal  , euclidean  ,           5,                 ,     5,        ,        ,          ,    0.046531,        6734732,        6.73,       19999,               9,  4262.729060999511  , 0.41844239537606864, 0.2130858797799758 , "[20000, 5]"   ,           ,        ,               ,          ,              ,                                  ,               , 
knn_k_sweep                , kruskal_knn_k10              , mst        , blobs         ,     20000,         10, kruskal  , euclidean  ,           5,                 ,    10,        ,        ,          ,    0.058356,       11295630,       11.3 ,       19999,               9,  3767.741530541546  , 0.4056185436469675 , 0.18835278759461557, "[20000, 5]"   ,           ,        ,               ,          ,              ,                                  ,               , 
knn_k_sweep                , kruskal_knn_k15              , mst        , blobs         ,     20000,         10, kruskal  , euclidean  ,           5,                 ,    15,        ,        ,          ,    0.077671,       16195630,       16.2 ,       19999,               9,  3747.0650450119356 , 0.3814375181715347 , 0.18731410556665742, "[20000, 5]"   ,           ,        ,               ,          ,              ,                                  ,               , 
knn_k_sweep                , kruskal_knn_k20              , mst        , blobs         ,     20000,         10, kruskal  , euclidean  ,           5,                 ,    20,        ,        ,          ,    0.086842,       21095580,       21.1 ,       19999,               9,  3840.3899418343917 , 0.41979204876726933, 0.19198646427605678, "[20000, 5]"   ,           ,        ,               ,          ,              ,                                  ,               , 
knn_k_sweep                , kruskal_knn_k30              , mst        , blobs         ,     20000,         10, kruskal  , euclidean  ,           5,                 ,    30,        ,        ,          ,    0.114656,       30895580,       30.9 ,       19999,               9,  3604.931601223828  , 0.37287493433170077, 0.18022046380216658, "[20000, 5]"   ,           ,        ,               ,          ,              ,                                  ,               , 
knn_k_sweep                , kruskal_knn_k50              , mst        , blobs         ,     20000,         10, kruskal  , euclidean  ,           5,                 ,    50,        ,        ,          ,    0.161638,       50495580,       50.5 ,       19999,               9,  3720.6234285297774 , 0.36652141379812364, 0.18599275117625397, "[20000, 5]"   ,           ,        ,               ,          ,              ,                                  ,               , 
knn_k_sweep                , kruskal_knn_k100             , mst        , blobs         ,     20000,         10, kruskal  , euclidean  ,           5,                 ,   100,        ,        ,          ,    0.303099,       99495630,       99.5 ,       19999,               9,  3825.6540676078157 , 0.3844578862956451 , 0.1912527993457303 , "[20000, 5]"   ,           ,        ,               ,          ,              ,                                  ,               , 
knn_k_sweep                , boruvka_baseline             , mst        , blobs         ,     20000,         10, boruvka  , euclidean  ,           5,                 ,      ,        ,        ,          ,    0.169333,        3819102,        3.82,       19999,               0,  4075.086370847898  , 3.2385783870198463 , 0.20246267318725586, "[20000, 5]"   ,           ,        ,               ,          ,              ,                                  ,               , 
knn_k_sweep                , kruskal_brute_baseline       , mst        , blobs         ,      5000,         10, kruskal  , euclidean  ,           5,                 ,      ,        ,        ,          ,    2.461313,      801077411,      801.08,        4999,               0,  1142.4986758958275 , 3.657800057532775  , 0.22309104612119854, "[5000, 5]"    ,           ,        ,               ,          ,              ,                                  ,               , 
sparsity_sweep             , boruvka_kgraph5              , hdbscan    , blobs         ,     20000,         10, boruvka  , precomputed,           5,               15,      ,       5,        ,          ,    1.364913,        5214090,        5.21,            ,                ,                     ,                    ,                    ,                ,        182,   11368,         0.5684,          ,              ,                                  ,               , 
sparsity_sweep             , kruskal_kgraph5              , hdbscan    , blobs         ,     20000,         10, kruskal  , precomputed,           5,               15,      ,       5,        ,          ,    0.522476,        5123594,        5.12,            ,                ,                     ,                    ,                    ,                ,        107,   15932,         0.7966,          ,              ,                                  ,               , 
sparsity_sweep             , boruvka_kgraph10             , hdbscan    , blobs         ,     20000,         10, boruvka  , precomputed,           5,               15,      ,      10,        ,          ,    1.559908,       10443870,       10.44,            ,                ,                     ,                    ,                    ,                ,         18,    8133,         0.4067,          ,              ,                                  ,               , 
sparsity_sweep             , kruskal_kgraph10             , hdbscan    , blobs         ,     20000,         10, kruskal  , precomputed,           5,               15,      ,      10,        ,          ,    0.638197,       10370544,       10.37,            ,                ,                     ,                    ,                    ,                ,         10,    8373,         0.4187,          ,              ,                                  ,               , 
sparsity_sweep             , boruvka_kgraph15             , hdbscan    , blobs         ,     20000,         10, boruvka  , precomputed,           5,               15,      ,      15,        ,          ,    1.627723,       15732432,       15.73,            ,                ,                     ,                    ,                    ,                ,         12,    4760,         0.238 ,          ,              ,                                  ,               , 
sparsity_sweep             , kruskal_kgraph15             , hdbscan    , blobs         ,     20000,         10, kruskal  , precomputed,           5,               15,      ,      15,        ,          ,    0.675371,       15632644,       15.63,            ,                ,                     ,                    ,                    ,                ,         10,    4722,         0.2361,          ,              ,                                  ,               , 
sparsity_sweep             , boruvka_kgraph20             , hdbscan    , blobs         ,     20000,         10, boruvka  , precomputed,           5,               15,      ,      20,        ,          ,    1.654891,       21292078,       21.29,            ,                ,                     ,                    ,                    ,                ,         13,    2830,         0.1415,          ,              ,                                  ,               , 
sparsity_sweep             , kruskal_kgraph20             , hdbscan    , blobs         ,     20000,         10, kruskal  , precomputed,           5,               15,      ,      20,        ,          ,    0.695002,       21152294,       21.15,            ,                ,                     ,                    ,                    ,                ,         10,    2912,         0.1456,          ,              ,                                  ,               , 
